date,posts,source_file
2024-01-15,8,2024_year
2024-01-16,8,2024_year
2024-01-19,8,2024_year
2024-01-20,8,2024_year
2024-01-22,8,2024_year
2024-01-23,8,2024_year
2024-01-28,8,2024_year
2024-01-29,8,2024_year
2024-01-30,8,2024_year
2024-02-18,8,2024_year
2024-02-24,8,2024_year
2024-02-29,8,2024_year
2024-03-01,8,2024_year
2024-03-17,8,2024_year
2024-03-18,8,2024_year
2024-03-22,8,2024_year
2024-03-23,8,2024_year
2024-03-24,8,2024_year
2024-03-26,8,2024_year
2024-09-29,8,2024_kvartal_3
2024-10-18,8,2024_kvartal_4
2024-10-20,8,2024_kvartal_4
2024-11-16,8,2024_kvartal_4
2024-11-17,8,2024_kvartal_4
2024-11-18,8,2024_kvartal_4
2024-11-19,8,2024_kvartal_4
2024-11-20,8,2024_kvartal_4
2024-11-22,8,2024_kvartal_4
2024-11-23,8,2024_kvartal_4
2024-11-27,8,2024_kvartal_4
2024-11-28,8,2024_kvartal_4
2024-11-29,8,2024_kvartal_4
2024-12-03,8,2024_kvartal_4
2024-12-04,8,2024_kvartal_4
2024-12-05,8,2024_kvartal_4
2024-12-06,8,2024_kvartal_4
2024-12-10,8,2024_kvartal_4
2024-12-24,8,2024_kvartal_4
2024-12-25,8,2024_kvartal_4
2025-01-12,8,2025_kvartal_1
2025-01-13,8,2025_kvartal_1
2025-01-14,8,2025_kvartal_1
2025-01-26,8,2025_kvartal_1
2025-01-27,8,2025_kvartal_1
2025-02-15,8,2025_kvartal_1
2025-02-16,8,2025_kvartal_1
2025-02-19,8,2025_kvartal_1
2025-02-20,8,2025_kvartal_1
2025-02-21,8,2025_kvartal_1
2025-02-25,8,2025_kvartal_1
2025-02-27,8,2025_kvartal_1
2025-02-28,8,2025_kvartal_1
2025-03-01,8,2025_kvartal_1
2025-03-02,8,2025_kvartal_1
2025-03-31,8,2025_kvartal_1
2025-04-03,8,2025_kvartal_2
2025-04-06,8,2025_kvartal_2
2025-10-06,8,2025_kvartal_4
2025-10-07,8,2025_kvartal_4
2025-10-08,8,2025_kvartal_4
2025-10-09,8,2025_kvartal_4
2025-10-19,8,2025_kvartal_4
2025-10-20,8,2025_kvartal_4
2025-10-29,8,2025_kvartal_4
2025-10-30,8,2025_kvartal_4
2025-11-14,8,2025_kvartal_4
2025-11-17,8,2025_kvartal_4
2025-11-18,8,2025_kvartal_4
2025-11-19,8,2025_kvartal_4
2025-12-02,8,2025_kvartal_4
2025-12-10,8,2025_kvartal_4
2025-12-11,8,2025_kvartal_4
2025-12-28,8,2025_kvartal_4
2025-12-29,8,2025_kvartal_4
