who_region,iso3,country_name,city,year,version,pm10_concentration,pm25_concentration,no2_concentration,pm10_tempcov,pm25_tempcov,no2_tempcov,type_of_stations,number_stations,reference,web_link,population,population_source,latitude,longitude,who_ms
EUR,KAZ,Kazakhstan,Pavlodar/KAZ,2015,V8.0 (2026) (n=1),39,16,24,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),52.3,76.95,1
EUR,KAZ,Kazakhstan,Pavlodar/KAZ,2016,V8.0 (2026) (n=1),16,8,20,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),52.3,76.95,1
EUR,KAZ,Kazakhstan,Pavlodar/KAZ,2017,V8.0 (2026) (n=1),6.9,5.3,30,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),52.3,76.95,1
EUR,KAZ,Kazakhstan,Pavlodar/KAZ,2018,V8.0 (2026) (n=1),6.6,4.6,27.8,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),52.3,76.95,1
EUR,KAZ,Kazakhstan,Pavlodar/KAZ,2019,V8.0 (2026) (n=1),41.1,7.2,21.4,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),52.3,76.95,1
EUR,KAZ,Kazakhstan,Pavlodar/KAZ,2020,V8.0 (2026) (n=1),10,7,26,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),52.3,76.95,1
EUR,KAZ,Kazakhstan,Pavlodar/KAZ,2021,V8.0 (2026) (n=1),40,10,20,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),52.3,76.95,1
EUR,KAZ,Kazakhstan,Pavlodar/KAZ,2022,V8.0 (2026) (n=1),130,10,20,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),52.3,76.95,1
EUR,KAZ,Kazakhstan,Pavlodar/KAZ,2023,V8.0 (2026) (n=1),110,10,20,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),52.3,76.95,1
EUR,KAZ,Kazakhstan,Pavlodar/KAZ,2024,V8.0 (2026) (n=1),NA,NA,10,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),52.3,76.95,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2010,V8.0 (2026) (n=1),NA,NA,6677,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2011,V8.0 (2026) (n=1),NA,NA,2,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2012,V8.0 (2026) (n=1),NA,NA,2,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2013,V8.0 (2026) (n=1),NA,NA,2,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2014,V8.0 (2026) (n=1),47,NA,64,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2015,V8.0 (2026) (n=1),45,NA,61,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2016,V8.0 (2026) (n=1),100,NA,60,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2017,V8.0 (2026) (n=1),40,NA,70,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2018,V8.0 (2026) (n=1),28,NA,70,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2019,V8.0 (2026) (n=1),30,NA,70,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2020,V8.0 (2026) (n=1),20,NA,60,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2021,V8.0 (2026) (n=1),35,30,70,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2022,V8.0 (2026) (n=1),5,2,50,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2023,V8.0 (2026) (n=1),NA,NA,60,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
EUR,KAZ,Kazakhstan,Taraz/KAZ,2024,V8.0 (2026) (n=1),NA,NA,60,NA,NA,NA,NA (n=1),1,Ministry of Ecology and Natural Resources (n=1),NA (n=1),NA,NA (n=1),42.9,71.3667,1
